Mhs ,Asal
1 ,N
2 ,J
3 ,J
4 ,N
5 ,J
6 ,J
7 ,N
8 ,N
9 ,J
10 ,J
11 ,J
12 ,N
13 ,J
14 ,N
15 ,N
16 ,J
17 ,N
18 ,J
19 ,N
20 ,J
21 ,N
22 ,N
23 ,N
24 ,N
25 ,J
26 ,N
27 ,N
28 ,J
29 ,J
30 ,J
31 ,N
32 ,J
33 ,N
34 ,J
35 ,J
36 ,N
37 ,N
38 ,J
39 ,J
40 ,J
41 ,J
42 ,N
43 ,N
44 ,J
45 ,N
46 ,N
47 ,J
48 ,N
49 ,N
50 ,J
51 ,N
52 ,N
53 ,J
54 ,J
55 ,N
56 ,J
57 ,N
58 ,J
59 ,N
60 ,N
61 ,N
62 ,J
63 ,N
64 ,N
65 ,J
66 ,N
67 ,N
68 ,N
69 ,N
70 ,J
71 ,J
72 ,J
73 ,J
74 ,J
75 ,N
76 ,N
77 ,N
78 ,J
79 ,N
